# format of this file:
# generation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector]
1	<1.70317,21.3176,7.19768,28.6671,2.49807,87.5005,6.74092,79.0405,3.76981,42.5543,3.32938,22.09,1.04436,25.4686,7.9545,56.8349>	0	<>	<8,363.474,-87.5005>
1	<3.79697,26.1756,4.17178,74.0054,5.2553,25.3556,1.59022,73.4234,7.30263,57.3665,3.06375,22.8901,6.77467,62.1014,4.6052,30.5657>	0	<>	<7,371.884,-74.0054>
1	<6.67696,2.087,7.62808,67.7853,7.65903,62.967,4.37669,80.1375,5.68057,92.3497,2.48487,0,1,0,6.84731,61.6854>	0	<>	<8,367.012,-92.3497>
1	<7.20936,65.3794,4.97,60.7064,2.60738,13.3418,5.73562,94.3032,3.32254,87.4608,1.96938,40.5493,1,79.6359,6.5233,10.3283>	0	<>	<7,451.705,-94.3032>
1	<4.61405,59.752,7.06271,0,2.28184,93.2153,4.74793,72.5164,6.5457,42.5582,7.44588,50.024,6.70733,65.7196,5.96957,27.1815>	0	<>	<7,410.967,-93.2153>
1	<7.86269,43.4523,4.10814,86.9854,5.97095,62.1423,5.6179,55.9413,1.65552,67.8447,2.63551,18.6882,2.48557,21.3532,7.15363,27.9311>	0	<>	<8,384.339,-86.9854>
1	<1.91219,83.1998,7.19657,79.5609,4.25784,55.6179,2.77203,52.4396,2.03581,21.0926,3.79103,39.6964,7.1505,54.4856,2.31077,19.7324>	0	<>	<7,405.825,-83.1998>
2	<1,1.5,4.44745,0,3,1.5,1,1.5,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<4,10.5,-1.5>
2	<1,1.5,2,1.5,3,1.5,1,1.5,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,12,-1.5>
2	<1,1.5,2,1.5,3,1.5,1,1.5,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,12,-1.5>
2	<1,1.5,2,1.5,3,1.5,1,13.9625,1.79536,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,24.4625,-13.9625>
2	<1,1.5,4.44745,0,3,1.5,1,1.5,2,1.5,3,1.5,1,1.5,2,17.3341>	0	<>	<4,26.3341,-17.3341>
2	<3.18308,0,1,13.8175,1.71077,14.8194,2.12918,73.4767,1.50501,27.0815,4.77842,56.3405,1.77632,13.9357,5.49992,0>	0	<>	<5,199.471,-73.4767>
2	<3.21041,2.47054,1.21128,15.6566,7.29797,8.63352,3.24132,29.5397,2.26522,75.597,4.84096,52.8738,5.30511,54.2209,1.67961,9.78367>	0	<>	<7,248.776,-75.597>
2	<1,25.8793,1.9929,0,2.36454,99.1981,1.01212,28.858,5.693,81.3043,5.269,0,1,19.2062,1,0>	0	<>	<6,254.446,-99.1981>
2	<1.85835,10.682,7.58718,15.6566,5.95856,61.5385,2.32,40.7236,3.99759,12.6006,3.15807,3.74277,6.96737,31.2639,4.03202,77.1536>	0	<>	<8,253.362,-77.1536>
2	<4.36493,97.7958,1.12797,70.5671,1.71077,14.8194,2.12918,73.4767,1.50501,27.0815,4.33929,56.3405,1.77632,13.9357,5.49992,62.8446>	0	<>	<5,416.861,-97.7958>
2	<3.66975,0.375,1.33047,0,5.97095,62.1423,5.6179,55.9413,1.65552,67.8447,2.63551,18.6882,2.48557,21.3532,7.15363,100>	0	<>	<7,326.345,-100>
2	<1.64399,7.49999,1.69217,55.7405,5.41825,35.2029,1.5726,77.9152,4.94068,48.0519,2.95491,37.0791,1.97446,36.3369,2.48767,64.4813>	0	<>	<5,362.308,-77.9152>
2	<5.38452,18.9867,5.19946,72.6162,6.04008,57.5832,4.96392,6.94533,5.99385,19.8374,2.38664,0,1.20949,28.1674,5.60514,38.355>	0	<>	<6,242.491,-72.6162>
2	<7.86269,0.375,1.33047,0,5.97095,62.1423,5.6179,55.9413,1.65552,67.8447,2.63551,18.6882,2.48557,21.3532,7.15363,27.9311>	0	<>	<8,254.276,-67.8447>
2	<6.0242,27.5896,4.27234,88.6159,6.42186,99.5551,1,20.2848,2.61471,10.1585,6.55826,65.3864,1.76332,56.731,6.1141,92.004>	0	<>	<7,460.325,-99.5551>
2	<1.52116,95.5408,7.89109,54.0645,2.86674,75.1154,1.03661,81.222,5.17228,28.2409,2.6579,100,1,3.53998,2.17056,14.0117>	0	<>	<8,451.735,-100>
2	<7.30765,99.0158,3.82475,9.60273,7.87498,100,2.56891,65.2568,6.57183,86.0069,4.74655,82.255,2.50235,69.7185,1.3771,84.0981>	0	<>	<8,595.954,-100>
2	<1.49649,42.1277,4.19096,51.4636,4.38269,70.1514,1.70521,55.6819,4.34113,62.6736,4.88328,65.0265,7.20715,99.6935,7.67477,97.8735>	0	<>	<8,544.692,-99.6935>
2	<1,99.1215,3.74902,74.8592,3.47771,82.7994,4.51569,60.7308,6.18218,81.9296,2.13166,79.1986,6.45438,34.4468,2.70259,0>	0	<>	<6,513.086,-99.1215>
