# format of this file:
# evaluation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector] 	 evaluator_rank 	 evaluation_time 	 life_time 
38	<6.3386947588709627865455332,73.314259561390741737341159,1.685923886339144583956795,94.57902149044862483151519,5.6570721779284403041287987,63.340803218698503940231603,5.6966822313595013582698812,45.753858213198306259528181,1.4129290242739622751599882,59.179409201806137730272894,7.7044484758304658811312038,87.432253773991135403775843,2.7429339758786062120066163,66.771699239859216845616174,2.0229598321127517657203043,79.028958118999824478123628>	0	<>	<8,569.4003999999999905412551,-94.57899999999999351985025>	0	0.088483999999999993213428695	0
39	<3.2307714066611468162193432,7.4582665262083835955309041,1.2796753543800094554683255,58.50316111860012568968159,2.3412015523487710311201226,69.685316630492593503731769,2.9572597760508116948585666,43.462343115109177915655891,5.6343390851441483846429037,1.1613206477655659831782486,4.7109005380006969687656238,93.988261229353142311992997,2.2373452541592273590254081,39.716996317597569543522695,6.1380633023279083104739584,93.943428757574139353891951>	0	<>	<6,407.91908999999998286511982,-93.988299999999995293364918>	0	0.09995500000000000218047802	0
40	<1.9121879082695523166535168,83.199817027524034074303927,7.1965715141019650502585137,79.560858374257037439747364,4.2578434139759480103748501,55.617910649449520121834212,2.7720301578622450477951134,52.439606260713006236073852,2.0358123863282671095475962,21.092551909895870920763628,3.7910301991696608858717354,39.69637660295533976295701,7.1504975804828561081194493,54.485571875463037372355757,2.3107734272772324501943331,19.732414055491059201585813>	0	<>	<7,405.82519999999999527062755,-83.19979999999999620285962>	0	0.11255300000000001414690587	0
41	<5.3360686881169998585505709,22.72069692738386592623101,6.4764902621863829068615814,81.103860578082432652990974,7.4684209490513522311516681,6.1964290711080787232845069,2.7196342585234130062588065,58.610857584798175423657085,1.5150424803211550717207956,77.57906852177301004758192,4.6819383137309635856126988,25.034110492576896689342902,2.2107245354963112049517804,26.000023039989184070464034,2.32842774425094400925218,30.327320625226629857706939>	0	<>	<7,327.57242999999999710780685,-81.103899999999995884536474>	0	0.094989999999999991109334019	0
42	<1.6439888014662957793632359,7.4999893584754264708180926,1.6921725267042277973672526,55.740460220603488039614604,5.4182530005547464568849136,35.202895493806757087895676,1.5726046504325255082079593,77.915219812614481043056003,4.940681318259183996133288,48.051926422888378453990299,2.2328117458302583209217573,44.159698506891587044265179,1.1776248776249702565621646,36.336931090958849210892367,5.4724478793667854503723902,64.481336653456708063458791>	0	<>	<5,369.38839000000001533408067,-77.915199999999998681232682>	0	0.097998000000000001774580483	0
43	<5.1340339612839898109086789,42.12768768990770240634447,4.1909638062077405606942193,51.463641529653052941739588,4.3826881732711049366457701,70.151400924730765495951346,1.7052149347519571787046289,55.681866479889428944716201,4.3411328579956354190017009,62.673617835470295744926261,6.6501183880726424391127694,65.026534192742090567662672,7.207154861282163871294415,99.693516176051232946520031,7.6747698372578110337371982,97.873480942972690854730899>	0	<>	<8,544.6916999999999688952812,-99.693500000000000227373675>	0	0.098077999999999998514965682	0
44	<1.5035453874168662746768632,5.2420337243201364785250007,4.7529758781907034403957368,70.311405542451609562704107,3.8311450452688826651126419,61.794007598326544439260033,4.3758637748546265200388916,96.740376668395654746746004,1.6892153782254157867726008,65.838221724069782680999197,3.8630052590104777543444925,12.383432273000213541536141,1.1522606937923751679875295,4.7921876911037548651961515,6.380533824851984725512466,61.232780786805221850954695>	0	<>	<6,378.33442000000002281012712,-96.740399999999993951860233>	0	0.097723999999999991428190071	0
45	<4.2843912766708021067074696,22.449966111429951354239165,1.8887495588924501088712304,95.243992188593367131943523,7.4820956925312502860947461,22.770921337777245696543105,4.5648101035341666076305955,40.331836389532234932175925,6.981117742127327829848582,31.641835594382992979944902,1.3750859374995743067415788,74.118180048707031915000698,3.1934746206707669280433493,0.71222530711080189735895374,6.039416266157950907711438,38.52885725839475838938597>	0	<>	<7,325.79782499999998890416464,-95.243999999999999772626325>	0	0.10149099999999999788258265	0
46	<1.4167981322001657051856682,25.605602015557511919041644,1.6188183960592459342819893,46.399188296123959673877835,7.1179726729718844069338957,57.066888155912465663277544,4.01976954425674382065381,97.245543635098982804265688,2.6033576883391278400381452,84.039640046674591644659813,1.6740283103073148041062268,25.080262648444744399967021,7.2182279416444838915367654,86.493744787989996325450193,7.0419130404674978862544776,35.751703118789805557753425>	0	<>	<7,457.68250000000000454747351,-97.245500000000006934897101>	0	0.097721000000000002305711178	0
47	<1.6260597629593962487604131,99.009465751708233938188641,3.1696986682571930415974748,1.5450778890145373534181772,2.5246270930043550606569625,81.921553882733704199381464,3.9313840027579032287974314,7.2249262161668976744977044,1.9494372601385401289064703,47.235284860821110441975179,6.6940174385411745916485415,44.89874120098480148044473,4.356325715014863320106997,53.334767163421382463184273,6.8399318921565690487796019,53.90176924592897478305531>	0	<>	<7,389.07170999999999594365363,-99.009500000000002728484105>	0	0.097247000000000000108357767	0
